
select t.args, cp.classname, t.cc
from (
  select args, count(*) as cc
  from code
  where opcode=(select id from opcode where name='checkcast')
  group by args
) t
left join cp_classname cp on cp.classnameid=t.args
order by t.cc desc
limit 100
;
args|classname|cc
3|java/lang/String|3509804
193|[Ljava/lang/Object;|1900928
759|java/util/Map$Entry|717424
33|java/lang/Integer|580605
243|java/util/List|525894
11496|scala/Tuple2|511008
11480|scala/collection/immutable/List|489604
44201|clojure/lang/IFn|382457
574|java/util/Map|356934
11631|scala/collection/Seq|351292
46|java/lang/Class|316641
44210|clojure/lang/Var|299987
53|java/lang/Long|295733
162|[B|292021
47|java/lang/Boolean|291414
1234|java/util/Collection|275128
143|[Ljava/lang/String;|253887
11494|scala/Option|251707
4443|org/apache/xmlbeans/SimpleValue|250821
2179|java/lang/Number|242243
26|java/lang/Throwable|181986
1101|java/lang/Double|171700
69|java/lang/Character|162980
11482|scala/Some|155876
1271|java/util/Set|151597
12803|scala/Function1|150071
11530|scala/collection/immutable/Map|146670
216|[I|141794
11592|scala/collection/immutable/$colon$colon|134436
854|java/lang/Comparable|131103
11483|scala/collection/TraversableOnce|124617
18137|scala/reflect/api/Trees$TreeApi|121295
105|java/lang/Float|118790
12239|com/google/protobuf/ByteString|118745
216932|scala/reflect/internal/Trees$Tree|117508
5755|[D|114563
18260|shapeless/$colon$colon|111732
17329|scala/reflect/api/Names$NameApi|109965
37941|org/codehaus/groovy/runtime/callsite/CallSiteArray|106139
80|java/io/File|104074
44212|clojure/lang/AFn|93476
61359|scala/scalajs/js/Dynamic|93342
3243|[C|92569
11481|scala/collection/TraversableLike|92429
1839|java/lang/Byte|92279
1100|java/lang/Short|92100
11552|scala/collection/immutable/Set|90487
216921|scala/reflect/internal/Symbols$Symbol|89980
3541|[J|85265
65610|org/antlr/runtime/tree/CommonTree|83708
11643|scala/collection/LinearSeqOptimized|81150
5492|java/lang/Iterable|79568
5321|org/w3c/dom/Element|79475
5615|java/lang/CharSequence|78539
5758|[F|77816
11668|scala/collection/SeqLike|76928
44220|clojure/lang/Keyword|75093
44235|clojure/lang/IPersistentMap|74078
94|java/lang/reflect/Method|73639
653829|org/apache/commons/math3/RealFieldElement|72740
165|java/lang/RuntimeException|70654
3160|[Z|68825
35456|java/awt/geom/GeneralPath|62655
3359|[S|62635
11488|scala/Tuple3|61334
61358|scala/scalajs/js/Any|57416
5566|java/lang/reflect/ParameterizedType|57207
38|java/util/Date|56629
37949|groovy/lang/Closure|53258
216929|scala/reflect/internal/Types$Type|52544
12265|com/google/protobuf/Descriptors$Descriptor|49584
33225|org/antlr/runtime/Token|49564
12718|scala/Function0|49441
4418|org/apache/xmlbeans/SchemaType|48698
58|java/lang/Error|47789
15863|[Ljava/lang/StackTraceElement;|47306
1730|java/nio/ByteBuffer|46930
220|java/util/ArrayList|46531
18252|scala/collection/immutable/Vector|45872
24855|java/util/SortedSet|45363
3193|java/math/BigInteger|44943
207|java/io/StringWriter|44186
54|java/io/InputStream|43773
5382|java/util/Iterator|43562
31847|scala/runtime/BoxedUnit|40624
4430|org/apache/xmlbeans/XmlString|38947
557793|java_cup/runtime/Symbol|38272
3342078|akka/parboiled2/Parser|38036
18125|scala/collection/immutable/Seq|37998
17990|scala/collection/Iterable|36333
2201|java/math/BigDecimal|35834
4469|org/apache/xmlbeans/XmlBoolean|35537
31608|com/google/common/collect/Range|35416
1139|java/lang/ClassLoader|35344
32|java/io/IOException|35221
44271|clojure/lang/IObj|35220
34|java/net/URL|34767
18307|scala/util/Either|34347
16796|scala/collection/immutable/Stream|34338
1335|[Ljava/lang/Class;|34073
