
select *
from (
  select
    t.opcode,
    (select name from opcode where id=t.opcode),
    t.args,
    (select fullmethodname from cp_methodref_view where methodrefid=t.args),
    count(*) as cc
  from (
    select c.opcode, c.args
    from (
      select opcodeindex-1 as opcodeindex from code
      where opcode=(select id from opcode where name='checkcast')
    ) t
    left join code c on c.opcodeindex=t.opcodeindex
  ) t
  group by opcode, args
)
order by cc desc
limit 100
;
opcode|(select name from opcode where id=t.opcode)|args|(select fullmethodname from cp_methodref_view where methodrefid=t.args)|cc
43|aload_1|||7920558
185|invokeinterface|1021|java/util/Iterator.next()Ljava/lang/Object;|3927771
44|aload_2|||2314394
83|aastore|||1322685
185|invokeinterface|934|java/util/Map.get(Ljava/lang/Object;)Ljava/lang/Object;|1290221
185|invokeinterface|2194|java/util/List.get(I)Ljava/lang/Object;|1153310
42|aload_0|||1040508
45|aload_3|||975912
182|invokevirtual|53906|scala/Option.get()Ljava/lang/Object;|526377
25|aload|4|java/lang/System.exit(I)V|521535
50|aaload|||517777
184|invokestatic|26711|java/lang/Enum.valueOf(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/Enum;|441101
185|invokeinterface|3158|java/util/Map$Entry.getValue()Ljava/lang/Object;|434477
182|invokevirtual|53910|scala/Tuple2._2()Ljava/lang/Object;|424207
182|invokevirtual|53909|scala/Tuple2._1()Ljava/lang/Object;|415368
185|invokeinterface|3157|java/util/Map$Entry.getKey()Ljava/lang/Object;|366611
25|aload|5|HTTPClient/URI.<init>(Ljava/lang/String;)V|358523
182|invokevirtual|195634|clojure/lang/Var.getRawRoot()Ljava/lang/Object;|340785
184|invokestatic|173139|org/codehaus/groovy/runtime/ScriptBytecodeAdapter.castToType(Ljava/lang/Object;Ljava/lang/Class;)Ljava/lang/Object;|300929
184|invokestatic|195627|clojure/lang/RT.var(Ljava/lang/String;Ljava/lang/String;)Lclojure/lang/Var;|296335
185|invokeinterface|25850|org/apache/xmlbeans/impl/values/TypeStore.find_element_user(Ljavax/xml/namespace/QName;I)Lorg/apache/xmlbeans/impl/values/TypeStoreUser;|264359
1|aconst_null|||250048
25|aload|6|MyAuthPrompter.<init>(Ljava/lang/String;Ljava/lang/String;)V|240446
182|invokevirtual|2694|java/util/ArrayList.get(I)Ljava/lang/Object;|209778
182|invokevirtual|1163|java/util/HashMap.get(Ljava/lang/Object;)Ljava/lang/Object;|209565
25|aload|7|HTTPClient/DefaultAuthHandler.setAuthorizationPrompter(LHTTPClient/AuthorizationPrompter;)LHTTPClient/AuthorizationPrompter;|194659
184|invokestatic|179231|com/google/common/base/Preconditions.checkNotNull(Ljava/lang/Object;)Ljava/lang/Object;|193665
185|invokeinterface|25861|org/apache/xmlbeans/impl/values/TypeStore.find_attribute_user(Ljavax/xml/namespace/QName;)Lorg/apache/xmlbeans/impl/values/TypeStoreUser;|191306
