
select t.args, cp.classname, t.cc
from (
  select args, count(*) as cc
  from code
  where opcode=(select id from opcode where name='instanceof')
  group by args
) t
left join cp_classname cp on cp.classnameid=t.args
order by t.cc desc
limit 100
;
args|classname|cc
3|java/lang/String|370467
11597|scala/Some|159547
11717|scala/collection/immutable/$colon$colon|132527
2240|java/lang/Number|104804
782|java/util/Map$Entry|103969
47|java/lang/Class|90992
239|java/util/List|71285
72|java/lang/Character|68864
33|java/lang/Integer|67169
252|java/util/Collection|65349
169|java/lang/RuntimeException|63283
223|java/util/Map|56721
48|java/lang/Boolean|54042
55|java/lang/Long|53438
1125|java/lang/Double|50870
5662|java/lang/reflect/ParameterizedType|49994
166|[B|42157
109|java/lang/Float|41424
61|java/lang/Error|31794
32|java/io/IOException|28602
5667|java/lang/reflect/TypeVariable|28414
1124|java/lang/Short|28129
1751|java/lang/Byte|26136
5660|java/lang/reflect/GenericArrayType|25962
224|java/util/Set|25881
5670|java/lang/reflect/WildcardType|25745
194|[Ljava/lang/Object;|23725
18681|scala/util/Left|19422
18682|scala/util/Right|19226
2262|java/math/BigDecimal|19145
39|java/util/Date|17207
22211|antlr/LexerGrammar|16365
3312|[C|15666
3260|java/math/BigInteger|15145
225|java/lang/reflect/InvocationTargetException|14750
15171|java/util/RandomAccess|14685
5380610|org/omg/CORBA/portable/ServantObjectExt|13500
218|[I|13119
5414|org/w3c/dom/Element|12503
75|java/lang/Exception|12429
231740|scala/reflect/internal/Trees$Select|12380
5851|[D|12359
13446|java/util/SortedSet|12352
5854|[F|12243
2|java/lang/Object|12150
3606|[J|12114
22234|antlr/TreeWalkerGrammar|11974
3423|[S|11919
100|java/lang/reflect/Method|11711
3226|[Z|11406
1695|java/lang/InterruptedException|11270
19656|java/rmi/RemoteException|11171
231741|scala/reflect/internal/Trees$Ident|11096
36269|scala/util/Success|11002
36270|scala/util/Failure|10531
26|java/lang/Throwable|9977
7311|java/util/SortedMap|9926
958333|groovyjarjarantlr/LexerGrammar|9802
58|java/io/InterruptedIOException|9293
12902|java/io/Closeable|8694
218724|scala/reflect/internal/Types$TypeRef|8533
19350|org/bouncycastle/asn1/ASN1Sequence|8492
231784|scala/reflect/internal/Trees$Apply|8482
171233|org/eclipse/jdt/internal/compiler/lookup/ReferenceBinding|8011
148|[Ljava/lang/String;|7961
69|java/util/Calendar|7908
5396|java/lang/CharSequence|7905
946044|org/python/core/PyString|7387
877|java/lang/Comparable|7338
35|java/net/HttpURLConnection|7190
958356|groovyjarjarantlr/TreeWalkerGrammar|7182
697|java/lang/reflect/Constructor|6889
89553|org/bouncycastle/asn1/ASN1TaggedObject|6739
38689|groovy/lang/Closure|6676
2601|java/sql/SQLException|6507
13688|com/google/common/collect/Multiset|6498
41488|org/apache/http/HttpEntityEnclosingRequest|6284
84|java/io/File|6058
231730|scala/reflect/internal/Trees$ValDef|5863
218711|scala/reflect/internal/Trees$DefDef|5855
178446|net/liftweb/common/Full|5810
59384|org/mozilla/javascript/Scriptable|5696
222|java/util/ArrayList|5684
368867|org/codehaus/groovy/ast/expr/VariableExpression|5676
368875|org/codehaus/groovy/ast/expr/ConstantExpression|5602
470|java/lang/reflect/Field|5552
946035|org/python/core/PyInteger|5548
5477|java/lang/Iterable|5539
253|java/util/Iterator|5452
232166|scala/reflect/internal/Types$MethodType|5430
1903|java/net/Inet6Address|5168
118|java/io/Serializable|5122
56|java/io/InputStream|4944
946036|org/python/core/PyLong|4895
666|java/net/URLClassLoader|4643
44955|groovy/lang/GeneratedGroovyProxy|4639
41648|javax/net/ssl/SSLSocket|4609
218713|scala/reflect/internal/Trees$Literal|4511
232708|scala/reflect/internal/Types$PolyType|4472
231816|scala/reflect/internal/Trees$Block|4388
