
select *
from (
  select
    t.opcode,
    (select name from opcode where id=t.opcode),
    t.args,
    (select fullmethodname from cp_methodref_view where methodrefid=t.args),
    count(*) as cc
  from (
    select c.opcode, c.args
    from (
      select opcodeindex-1 as opcodeindex from code
      where opcode=(select id from opcode where name='instanceof')
    ) t
    left join code c on c.opcodeindex=t.opcodeindex
  ) t
  group by opcode, args
)
order by cc desc
limit 100
;
opcode|(select name from opcode where id=t.opcode)|args|(select fullmethodname from cp_methodref_view where methodrefid=t.args)|cc
43|aload_1|||3135273
44|aload_2|||1222278
42|aload_0|||758913
45|aload_3|||700879
25|aload|4|java/lang/System.exit(I)V|414331
25|aload|5|HTTPClient/URI.<init>(Ljava/lang/String;)V|283030
25|aload|6|MyAuthPrompter.<init>(Ljava/lang/String;Ljava/lang/String;)V|190482
25|aload|7|HTTPClient/DefaultAuthHandler.setAuthorizationPrompter(LHTTPClient/AuthorizationPrompter;)LHTTPClient/AuthorizationPrompter;|153315
25|aload|8|HTTPClient/HTTPConnection.<init>(LHTTPClient/URI;)V|114807
25|aload|9|HTTPClient/URI.getPathAndQuery()Ljava/lang/String;|86346
50|aaload|||80124
25|aload|10|HTTPClient/HTTPConnection.Head(Ljava/lang/String;)LHTTPClient/HTTPResponse;|62163
25|aload|11|HTTPClient/HTTPResponse.getStatusCode()I|48710
25|aload|12|java/lang/StringBuffer.<init>(Ljava/lang/String;)V|37863
25|aload|13|java/lang/StringBuffer.append(Ljava/lang/Object;)Ljava/lang/StringBuffer;|32109
25|aload|14|java/lang/StringBuffer.toString()Ljava/lang/String;|26736
25|aload|15|java/lang/StringBuffer.append(Ljava/lang/String;)Ljava/lang/StringBuffer;|20879
182|invokevirtual|54161|scala/collection/immutable/$colon$colon.tl$1()Lscala/collection/immutable/List;|20322
25|aload|16|java/lang/Object.<init>()V|16928
89|dup|||16445
25|aload|17|java/io/PrintStream.println()V|15975
196|wide|||13060
25|aload|18|HTTPClient/NVPair.<init>(Ljava/lang/String;Ljava/lang/String;)V|12887
25|aload|19|HTTPClient/AuthorizationInfo.getScheme()Ljava/lang/String;|12857
180|getfield|120852|org/aspectj/debugger/base/Debugger.addPromptListener(Lorg/aspectj/debugger/base/PromptListener;)V|11131
182|invokevirtual|53910|scala/Tuple2._2()Ljava/lang/Object;|10710
25|aload|21|HTTPClient/AuthorizationInfo.getHost()Ljava/lang/String;|9975
185|invokeinterface|3158|java/util/Map$Entry.getValue()Ljava/lang/Object;|9880
182|invokevirtual|53909|scala/Tuple2._1()Ljava/lang/Object;|9831
185|invokeinterface|2194|java/util/List.get(I)Ljava/lang/Object;|9767
25|aload|23|java/lang/StringBuffer.append(I)Ljava/lang/StringBuffer;|9538
182|invokevirtual|955|java/lang/reflect/InvocationTargetException.getTargetException()Ljava/lang/Throwable;|9516
25|aload|20|HTTPClient/AuthorizationInfo.getRealm()Ljava/lang/String;|9434
25|aload|22|HTTPClient/AuthorizationInfo.getPort()I|7717
185|invokeinterface|934|java/util/Map.get(Ljava/lang/Object;)Ljava/lang/Object;|7533
25|aload|25|java/awt/Container.setLayout(Ljava/awt/LayoutManager;)V|6788
180|getfield|51014|com/sun/org/apache/xerces/internal/impl/xs/XMLSchemaValidator$XPathMatcherStack.pushContext()V|6747
180|getfield|50912|com/sun/org/apache/xerces/internal/impl/xs/XSDDescription.getLocationHints()[Ljava/lang/String;|6647
180|getfield|158981|org/eclipse/fx/ide/l10n/parser/antlr/internal/InternalNLSDslParser.newLeafNode(Lorg/antlr/runtime/Token;Lorg/eclipse/emf/ecore/EObject;)V|6559
180|getfield|51227|com/sun/org/apache/xerces/internal/impl/xs/models/CMNodeFactory.nodeCountCheck()V|6477
25|aload|27|java/awt/Container.add(Ljava/lang/String;Ljava/awt/Component;)Ljava/awt/Component;|6167
180|getfield|51447|com/sun/org/apache/xerces/internal/impl/xs/traversers/XSDElementTraverser.traverseNamedElement(Lorg/w3c/dom/Element;[Ljava/lang/Object;Lcom/sun/org/apache/xerces/internal/impl/xs/traversers/XSDocumentInfo;Lcom/sun/org/apache/xerces/internal/impl/xs/SchemaGrammar;ZLcom/sun/org/apache/xerces/internal/xs/XSObject;)Lcom/sun/org/apache/xerces/internal/impl/xs/XSElementDecl;|5940
25|aload|24|java/awt/BorderLayout.<init>()V|5934
25|aload|29|java/awt/Button.<init>(Ljava/lang/String;)V|5518
25|aload|26|java/awt/TextArea.<init>(II)V|5136
182|invokevirtual|19785463|org/distributeme/core/interceptor/InterceptorResponse.getException()Ljava/lang/Exception;|5065
182|invokevirtual|55624|java/lang/RuntimeException.getCause()Ljava/lang/Throwable;|4510
25|aload|31|java/applet/Applet.getCodeBase()Ljava/net/URL;|4421
25|aload|28|java/awt/TextComponent.setEditable(Z)V|4370
180|getfield|2308978|clover/antlr/ANTLRGrammarParseBehavior.abortGrammar()V|4348
180|getfield|2308876|com/atlassian/clover/reporters/html/source/groovy/GroovySourceListener.onEndDocument()V|4288
180|getfield|2309191|clover/antlr/CodeGenerator.<init>()V|4174
25|aload|33|java/awt/Component.repaint()V|3993
25|aload|32|HTTPClient/HTTPConnection.<init>(Ljava/net/URL;)V|3892
180|getfield|2309411|clover/antlr/CharScanner.setColumn(I)V|3828
182|invokevirtual|53906|scala/Option.get()Ljava/lang/Object;|3749
25|aload|30|java/awt/Button.addActionListener(Ljava/awt/event/ActionListener;)V|3645
182|invokevirtual|961592|scala/reflect/internal/Trees$Select.qualifier()Lscala/reflect/internal/Trees$Tree;|3559
182|invokevirtual|86898|org/bouncycastle/asn1/ASN1Sequence.getObjectAt(I)Lorg/bouncycastle/asn1/ASN1Encodable;|3491
25|aload|35|java/lang/Thread.start()V|3442
25|aload|37|HTTPClient/HTTPConnection.Post(Ljava/lang/String;Ljava/lang/String;)LHTTPClient/HTTPResponse;|3417
25|aload|39|java/lang/Object.wait()V|3356
182|invokevirtual|961699|scala/reflect/internal/Trees$Apply.fun()Lscala/reflect/internal/Trees$Tree;|3351
25|aload|36|HTTPClient/doc/HTTPClientExample.waitForDoit()V|3039
